season,lg,team,playoffs,abbreviation
2019,NBA,Brooklyn Nets,True,BRK
2019,NBA,Charlotte Hornets,False,CHO
2019,NBA,Chicago Bulls,False,CHI
2019,NBA,Cleveland Cavaliers,False,CLE
2019,NBA,Dallas Mavericks,False,DAL
2019,NBA,Denver Nuggets,True,DEN
2019,NBA,Detroit Pistons,True,DET
2019,NBA,Golden State Warriors,True,GSW
2019,NBA,Houston Rockets,True,HOU
2019,NBA,Indiana Pacers,True,IND
2019,NBA,League Average,False,
2019,NBA,Los Angeles Clippers,True,LAC
2019,NBA,Los Angeles Lakers,False,LAL
2019,NBA,Memphis Grizzlies,False,MEM
2019,NBA,Miami Heat,False,MIA
2019,NBA,Milwaukee Bucks,True,MIL
2019,NBA,Minnesota Timberwolves,False,MIN
2019,NBA,New Orleans Pelicans,False,NOP
2019,NBA,New York Knicks,False,NYK
2019,NBA,Oklahoma City Thunder,True,OKC
2019,NBA,Orlando Magic,True,ORL
2019,NBA,Philadelphia 76ers,True,PHI
2019,NBA,Phoenix Suns,False,PHO
2019,NBA,Portland Trail Blazers,True,POR
2019,NBA,Sacramento Kings,False,SAC
2019,NBA,San Antonio Spurs,True,SAS
2019,NBA,Toronto Raptors,True,TOR
2019,NBA,Utah Jazz,True,UTA
2019,NBA,Washington Wizards,False,WAS
2018,NBA,Atlanta Hawks,False,ATL
2018,NBA,Boston Celtics,True,BOS
2018,NBA,Brooklyn Nets,False,BRK
2018,NBA,Charlotte Hornets,False,CHO
2018,NBA,Chicago Bulls,False,CHI
2018,NBA,Cleveland Cavaliers,True,CLE
2018,NBA,Dallas Mavericks,False,DAL
2018,NBA,Denver Nuggets,False,DEN
2018,NBA,Detroit Pistons,False,DET
2018,NBA,Golden State Warriors,True,GSW
2018,NBA,Houston Rockets,True,HOU
2018,NBA,Indiana Pacers,True,IND
2018,NBA,League Average,False,
2018,NBA,Los Angeles Clippers,False,LAC
2018,NBA,Los Angeles Lakers,False,LAL
2018,NBA,Memphis Grizzlies,False,MEM
2018,NBA,Miami Heat,True,MIA
2018,NBA,Milwaukee Bucks,True,MIL
2018,NBA,Minnesota Timberwolves,True,MIN
2018,NBA,New Orleans Pelicans,True,NOP
2018,NBA,New York Knicks,False,NYK
2018,NBA,Oklahoma City Thunder,True,OKC
2018,NBA,Orlando Magic,False,ORL
2018,NBA,Philadelphia 76ers,True,PHI
2018,NBA,Phoenix Suns,False,PHO
2018,NBA,Portland Trail Blazers,True,POR
2018,NBA,Sacramento Kings,False,SAC
2018,NBA,San Antonio Spurs,True,SAS
2018,NBA,Toronto Raptors,True,TOR
2018,NBA,Utah Jazz,True,UTA
2018,NBA,Washington Wizards,True,WAS
2017,NBA,Atlanta Hawks,True,ATL
2017,NBA,Boston Celtics,True,BOS
2017,NBA,Brooklyn Nets,False,BRK
2017,NBA,Charlotte Hornets,False,CHO
2017,NBA,Chicago Bulls,True,CHI
2017,NBA,Cleveland Cavaliers,True,CLE
2017,NBA,Dallas Mavericks,False,DAL
2017,NBA,Denver Nuggets,False,DEN
2017,NBA,Detroit Pistons,False,DET
2017,NBA,Golden State Warriors,True,GSW
2017,NBA,Houston Rockets,True,HOU
2017,NBA,Indiana Pacers,True,IND
2017,NBA,League Average,False,
2017,NBA,Los Angeles Clippers,True,LAC
2017,NBA,Los Angeles Lakers,False,LAL
2017,NBA,Memphis Grizzlies,True,MEM
2017,NBA,Miami Heat,False,MIA
2017,NBA,Milwaukee Bucks,True,MIL
2017,NBA,Minnesota Timberwolves,False,MIN
2017,NBA,New Orleans Pelicans,False,NOP
2017,NBA,New York Knicks,False,NYK
2017,NBA,Oklahoma City Thunder,True,OKC
2017,NBA,Orlando Magic,False,ORL
2017,NBA,Philadelphia 76ers,False,PHI
2017,NBA,Phoenix Suns,False,PHO
2017,NBA,Portland Trail Blazers,True,POR
2017,NBA,Sacramento Kings,False,SAC
2017,NBA,San Antonio Spurs,True,SAS
2017,NBA,Toronto Raptors,True,TOR
2017,NBA,Utah Jazz,True,UTA
2017,NBA,Washington Wizards,True,WAS
2016,NBA,Atlanta Hawks,True,ATL
2016,NBA,Boston Celtics,True,BOS
2016,NBA,Brooklyn Nets,False,BRK
2016,NBA,Charlotte Hornets,True,CHO
2016,NBA,Chicago Bulls,False,CHI
2016,NBA,Cleveland Cavaliers,True,CLE
2016,NBA,Dallas Mavericks,True,DAL
2016,NBA,Denver Nuggets,False,DEN
2016,NBA,Detroit Pistons,True,DET
2016,NBA,Golden State Warriors,True,GSW
2016,NBA,Houston Rockets,True,HOU
2016,NBA,Indiana Pacers,True,IND
2016,NBA,League Average,False,
2016,NBA,Los Angeles Clippers,True,LAC
2016,NBA,Los Angeles Lakers,False,LAL
2016,NBA,Memphis Grizzlies,True,MEM
2016,NBA,Miami Heat,True,MIA
2016,NBA,Milwaukee Bucks,False,MIL
2016,NBA,Minnesota Timberwolves,False,MIN
2016,NBA,New Orleans Pelicans,False,NOP
2016,NBA,New York Knicks,False,NYK
2016,NBA,Oklahoma City Thunder,True,OKC
2016,NBA,Orlando Magic,False,ORL
2016,NBA,Philadelphia 76ers,False,PHI
2016,NBA,Phoenix Suns,False,PHO
2016,NBA,Portland Trail Blazers,True,POR
2016,NBA,Sacramento Kings,False,SAC
2016,NBA,San Antonio Spurs,True,SAS
2016,NBA,Toronto Raptors,True,TOR
2016,NBA,Utah Jazz,False,UTA
2016,NBA,Washington Wizards,False,WAS
2015,NBA,Atlanta Hawks,True,ATL
2015,NBA,Boston Celtics,True,BOS
2015,NBA,Brooklyn Nets,True,BRK
2015,NBA,Charlotte Hornets,False,CHO
2015,NBA,Chicago Bulls,True,CHI
2015,NBA,Cleveland Cavaliers,True,CLE
2015,NBA,Dallas Mavericks,True,DAL
2015,NBA,Denver Nuggets,False,DEN
2015,NBA,Detroit Pistons,False,DET
2015,NBA,Golden State Warriors,True,GSW
2015,NBA,Houston Rockets,True,HOU
2015,NBA,Indiana Pacers,False,IND
2015,NBA,League Average,False,
2015,NBA,Los Angeles Clippers,True,LAC
2015,NBA,Los Angeles Lakers,False,LAL
2015,NBA,Memphis Grizzlies,True,MEM
2015,NBA,Miami Heat,False,MIA
2015,NBA,Milwaukee Bucks,True,MIL
2015,NBA,Minnesota Timberwolves,False,MIN
2015,NBA,New Orleans Pelicans,True,NOP
2015,NBA,New York Knicks,False,NYK
2015,NBA,Oklahoma City Thunder,False,OKC
2015,NBA,Orlando Magic,False,ORL
2015,NBA,Philadelphia 76ers,False,PHI
2015,NBA,Phoenix Suns,False,PHO
2015,NBA,Portland Trail Blazers,True,POR
2015,NBA,Sacramento Kings,False,SAC
2015,NBA,San Antonio Spurs,True,SAS
2015,NBA,Toronto Raptors,True,TOR
2015,NBA,Utah Jazz,False,UTA
2015,NBA,Washington Wizards,True,WAS
2014,NBA,Atlanta Hawks,True,ATL
2014,NBA,Boston Celtics,False,BOS
2014,NBA,Brooklyn Nets,True,BRK
2014,NBA,Charlotte Bobcats,True,CHA
2014,NBA,Chicago Bulls,True,CHI
2014,NBA,Cleveland Cavaliers,False,CLE
2014,NBA,Dallas Mavericks,True,DAL
2014,NBA,Denver Nuggets,False,DEN
2014,NBA,Detroit Pistons,False,DET
2014,NBA,Golden State Warriors,True,GSW
2014,NBA,Houston Rockets,True,HOU
2014,NBA,Indiana Pacers,True,IND
2014,NBA,League Average,False,
2014,NBA,Los Angeles Clippers,True,LAC
2014,NBA,Los Angeles Lakers,False,LAL
2014,NBA,Memphis Grizzlies,True,MEM
2014,NBA,Miami Heat,True,MIA
2014,NBA,Milwaukee Bucks,False,MIL
2014,NBA,Minnesota Timberwolves,False,MIN
2014,NBA,New Orleans Pelicans,False,NOP
2014,NBA,New York Knicks,False,NYK
2014,NBA,Oklahoma City Thunder,True,OKC
2014,NBA,Orlando Magic,False,ORL
2014,NBA,Philadelphia 76ers,False,PHI
2014,NBA,Phoenix Suns,False,PHO
2014,NBA,Portland Trail Blazers,True,POR
2014,NBA,Sacramento Kings,False,SAC
2014,NBA,San Antonio Spurs,True,SAS
2014,NBA,Toronto Raptors,True,TOR
2014,NBA,Utah Jazz,False,UTA
2014,NBA,Washington Wizards,True,WAS
2013,NBA,Atlanta Hawks,True,ATL
2013,NBA,Boston Celtics,True,BOS
2013,NBA,Brooklyn Nets,True,BRK
2013,NBA,Charlotte Bobcats,False,CHA
2013,NBA,Chicago Bulls,True,CHI
2013,NBA,Cleveland Cavaliers,False,CLE
2013,NBA,Dallas Mavericks,False,DAL
2013,NBA,Denver Nuggets,True,DEN
2013,NBA,Detroit Pistons,False,DET
2013,NBA,Golden State Warriors,True,GSW
2013,NBA,Houston Rockets,True,HOU
2013,NBA,Indiana Pacers,True,IND
2013,NBA,League Average,False,
2013,NBA,Los Angeles Clippers,True,LAC
2013,NBA,Los Angeles Lakers,True,LAL
2013,NBA,Memphis Grizzlies,True,MEM
2013,NBA,Miami Heat,True,MIA
2013,NBA,Milwaukee Bucks,True,MIL
2013,NBA,Minnesota Timberwolves,False,MIN
2013,NBA,New Orleans Hornets,False,NOH
2013,NBA,New York Knicks,True,NYK
2013,NBA,Oklahoma City Thunder,True,OKC
2013,NBA,Orlando Magic,False,ORL
2013,NBA,Philadelphia 76ers,False,PHI
2013,NBA,Phoenix Suns,False,PHO
2013,NBA,Portland Trail Blazers,False,POR
2013,NBA,Sacramento Kings,False,SAC
2013,NBA,San Antonio Spurs,True,SAS
2013,NBA,Toronto Raptors,False,TOR
2013,NBA,Utah Jazz,False,UTA
2013,NBA,Washington Wizards,False,WAS
2012,NBA,Atlanta Hawks,True,ATL
2012,NBA,Boston Celtics,True,BOS
2012,NBA,Charlotte Bobcats,False,CHA
2012,NBA,Chicago Bulls,True,CHI
2012,NBA,Cleveland Cavaliers,False,CLE
2012,NBA,Dallas Mavericks,True,DAL
2012,NBA,Denver Nuggets,True,DEN
2012,NBA,Detroit Pistons,False,DET
2012,NBA,Golden State Warriors,False,GSW
2012,NBA,Houston Rockets,False,HOU
2012,NBA,Indiana Pacers,True,IND
2012,NBA,League Average,False,
2012,NBA,Los Angeles Clippers,True,LAC
2012,NBA,Los Angeles Lakers,True,LAL
2012,NBA,Memphis Grizzlies,True,MEM
2012,NBA,Miami Heat,True,MIA
2012,NBA,Milwaukee Bucks,False,MIL
2012,NBA,Minnesota Timberwolves,False,MIN
2012,NBA,New Jersey Nets,False,NJN
2012,NBA,New Orleans Hornets,False,NOH
2012,NBA,New York Knicks,True,NYK
2012,NBA,Oklahoma City Thunder,True,OKC
2012,NBA,Orlando Magic,True,ORL
2012,NBA,Philadelphia 76ers,True,PHI
2012,NBA,Phoenix Suns,False,PHO
2012,NBA,Portland Trail Blazers,False,POR
2012,NBA,Sacramento Kings,False,SAC
2012,NBA,San Antonio Spurs,True,SAS
2012,NBA,Toronto Raptors,False,TOR
2012,NBA,Utah Jazz,True,UTA
2012,NBA,Washington Wizards,False,WAS
2011,NBA,Atlanta Hawks,True,ATL
2011,NBA,Boston Celtics,True,BOS
2011,NBA,Charlotte Bobcats,False,CHA
2011,NBA,Chicago Bulls,True,CHI
2011,NBA,Cleveland Cavaliers,False,CLE
2011,NBA,Dallas Mavericks,True,DAL
2011,NBA,Denver Nuggets,True,DEN
2011,NBA,Detroit Pistons,False,DET
2011,NBA,Golden State Warriors,False,GSW
2011,NBA,Houston Rockets,False,HOU
2011,NBA,Indiana Pacers,True,IND
2011,NBA,League Average,False,
2011,NBA,Los Angeles Clippers,False,LAC
2011,NBA,Los Angeles Lakers,True,LAL
2011,NBA,Memphis Grizzlies,True,MEM
2011,NBA,Miami Heat,True,MIA
2011,NBA,Milwaukee Bucks,False,MIL
2011,NBA,Minnesota Timberwolves,False,MIN
2011,NBA,New Jersey Nets,False,NJN
2011,NBA,New Orleans Hornets,True,NOH
2011,NBA,New York Knicks,True,NYK
2011,NBA,Oklahoma City Thunder,True,OKC
2011,NBA,Orlando Magic,True,ORL
2011,NBA,Philadelphia 76ers,True,PHI
2011,NBA,Phoenix Suns,False,PHO
2011,NBA,Portland Trail Blazers,True,POR
2011,NBA,Sacramento Kings,False,SAC
2011,NBA,San Antonio Spurs,True,SAS
2011,NBA,Toronto Raptors,False,TOR
2011,NBA,Utah Jazz,False,UTA
2011,NBA,Washington Wizards,False,WAS
2010,NBA,Atlanta Hawks,True,ATL
2010,NBA,Boston Celtics,True,BOS
2010,NBA,Charlotte Bobcats,True,CHA
2010,NBA,Chicago Bulls,True,CHI
2010,NBA,Cleveland Cavaliers,True,CLE
2010,NBA,Dallas Mavericks,True,DAL
2010,NBA,Denver Nuggets,True,DEN
2010,NBA,Detroit Pistons,False,DET
2010,NBA,Golden State Warriors,False,GSW
2010,NBA,Houston Rockets,False,HOU
2010,NBA,Indiana Pacers,False,IND
2010,NBA,League Average,False,
2010,NBA,Los Angeles Clippers,False,LAC
2010,NBA,Los Angeles Lakers,True,LAL
2010,NBA,Memphis Grizzlies,False,MEM
2010,NBA,Miami Heat,True,MIA
2010,NBA,Milwaukee Bucks,True,MIL
2010,NBA,Minnesota Timberwolves,False,MIN
2010,NBA,New Jersey Nets,False,NJN
2010,NBA,New Orleans Hornets,False,NOH
2010,NBA,New York Knicks,False,NYK
2010,NBA,Oklahoma City Thunder,True,OKC
2010,NBA,Orlando Magic,True,ORL
2010,NBA,Philadelphia 76ers,False,PHI
2010,NBA,Phoenix Suns,True,PHO
2010,NBA,Portland Trail Blazers,True,POR
2010,NBA,Sacramento Kings,False,SAC
2010,NBA,San Antonio Spurs,True,SAS
2010,NBA,Toronto Raptors,False,TOR
2010,NBA,Utah Jazz,True,UTA
2010,NBA,Washington Wizards,False,WAS
2009,NBA,Atlanta Hawks,True,ATL
2009,NBA,Boston Celtics,True,BOS
2009,NBA,Charlotte Bobcats,False,CHA
2009,NBA,Chicago Bulls,True,CHI
2009,NBA,Cleveland Cavaliers,True,CLE
2009,NBA,Dallas Mavericks,True,DAL
2009,NBA,Denver Nuggets,True,DEN
2009,NBA,Detroit Pistons,True,DET
2009,NBA,Golden State Warriors,False,GSW
2009,NBA,Houston Rockets,True,HOU
2009,NBA,Indiana Pacers,False,IND
2009,NBA,League Average,False,
2009,NBA,Los Angeles Clippers,False,LAC
2009,NBA,Los Angeles Lakers,True,LAL
2009,NBA,Memphis Grizzlies,False,MEM
2009,NBA,Miami Heat,True,MIA
2009,NBA,Milwaukee Bucks,False,MIL
2009,NBA,Minnesota Timberwolves,False,MIN
2009,NBA,New Jersey Nets,False,NJN
2009,NBA,New Orleans Hornets,True,NOH
2009,NBA,New York Knicks,False,NYK
2009,NBA,Oklahoma City Thunder,False,OKC
2009,NBA,Orlando Magic,True,ORL
2009,NBA,Philadelphia 76ers,True,PHI
2009,NBA,Phoenix Suns,False,PHO
2009,NBA,Portland Trail Blazers,True,POR
2009,NBA,Sacramento Kings,False,SAC
2009,NBA,San Antonio Spurs,True,SAS
2009,NBA,Toronto Raptors,False,TOR
2009,NBA,Utah Jazz,True,UTA
2009,NBA,Washington Wizards,False,WAS
2008,NBA,Atlanta Hawks,True,ATL
2008,NBA,Boston Celtics,True,BOS
2008,NBA,Charlotte Bobcats,False,CHA
2008,NBA,Chicago Bulls,False,CHI
2008,NBA,Cleveland Cavaliers,True,CLE
2008,NBA,Dallas Mavericks,True,DAL
2008,NBA,Denver Nuggets,True,DEN
2008,NBA,Detroit Pistons,True,DET
2008,NBA,Golden State Warriors,False,GSW
2008,NBA,Houston Rockets,True,HOU
2008,NBA,Indiana Pacers,False,IND
2008,NBA,League Average,False,
2008,NBA,Los Angeles Clippers,False,LAC
2008,NBA,Los Angeles Lakers,True,LAL
2008,NBA,Memphis Grizzlies,False,MEM
2008,NBA,Miami Heat,False,MIA
2008,NBA,Milwaukee Bucks,False,MIL
2008,NBA,Minnesota Timberwolves,False,MIN
2008,NBA,New Jersey Nets,False,NJN
2008,NBA,New Orleans Hornets,True,NOH
2008,NBA,New York Knicks,False,NYK
2008,NBA,Orlando Magic,True,ORL
2008,NBA,Philadelphia 76ers,True,PHI
2008,NBA,Phoenix Suns,True,PHO
2008,NBA,Portland Trail Blazers,False,POR
2008,NBA,Sacramento Kings,False,SAC
2008,NBA,San Antonio Spurs,True,SAS
2008,NBA,Seattle SuperSonics,False,SEA
2008,NBA,Toronto Raptors,True,TOR
2008,NBA,Utah Jazz,True,UTA
2008,NBA,Washington Wizards,True,WAS
2007,NBA,Atlanta Hawks,False,ATL
2007,NBA,Boston Celtics,False,BOS
2007,NBA,Charlotte Bobcats,False,CHA
2007,NBA,Chicago Bulls,True,CHI
2007,NBA,Cleveland Cavaliers,True,CLE
2007,NBA,Dallas Mavericks,True,DAL
2007,NBA,Denver Nuggets,True,DEN
2007,NBA,Detroit Pistons,True,DET
2007,NBA,Golden State Warriors,True,GSW
2007,NBA,Houston Rockets,True,HOU
2007,NBA,Indiana Pacers,False,IND
2007,NBA,League Average,False,
2007,NBA,Los Angeles Clippers,False,LAC
2007,NBA,Los Angeles Lakers,True,LAL
2007,NBA,Memphis Grizzlies,False,MEM
2007,NBA,Miami Heat,True,MIA
2007,NBA,Milwaukee Bucks,False,MIL
2007,NBA,Minnesota Timberwolves,False,MIN
2007,NBA,New Jersey Nets,True,NJN
2007,NBA,New Orleans/Oklahoma City Hornets,False,NOK
2007,NBA,New York Knicks,False,NYK
2007,NBA,Orlando Magic,True,ORL
2007,NBA,Philadelphia 76ers,False,PHI
2007,NBA,Phoenix Suns,True,PHO
2007,NBA,Portland Trail Blazers,False,POR
2007,NBA,Sacramento Kings,False,SAC
2007,NBA,San Antonio Spurs,True,SAS
2007,NBA,Seattle SuperSonics,False,SEA
2007,NBA,Toronto Raptors,True,TOR
2007,NBA,Utah Jazz,True,UTA
2007,NBA,Washington Wizards,True,WAS
2006,NBA,Atlanta Hawks,False,ATL
2006,NBA,Boston Celtics,False,BOS
2006,NBA,Charlotte Bobcats,False,CHA
2006,NBA,Chicago Bulls,True,CHI
2006,NBA,Cleveland Cavaliers,True,CLE
2006,NBA,Dallas Mavericks,True,DAL
2006,NBA,Denver Nuggets,True,DEN
2006,NBA,Detroit Pistons,True,DET
2006,NBA,Golden State Warriors,False,GSW
2006,NBA,Houston Rockets,False,HOU
2006,NBA,Indiana Pacers,True,IND
2006,NBA,League Average,False,
2006,NBA,Los Angeles Clippers,True,LAC
2006,NBA,Los Angeles Lakers,True,LAL
2006,NBA,Memphis Grizzlies,True,MEM
2006,NBA,Miami Heat,True,MIA
2006,NBA,Milwaukee Bucks,True,MIL
2006,NBA,Minnesota Timberwolves,False,MIN
2006,NBA,New Jersey Nets,True,NJN
2006,NBA,New Orleans/Oklahoma City Hornets,False,NOK
2006,NBA,New York Knicks,False,NYK
2006,NBA,Orlando Magic,False,ORL
2006,NBA,Philadelphia 76ers,False,PHI
2006,NBA,Phoenix Suns,True,PHO
2006,NBA,Portland Trail Blazers,False,POR
2006,NBA,Sacramento Kings,True,SAC
2006,NBA,San Antonio Spurs,True,SAS
2006,NBA,Seattle SuperSonics,False,SEA
2006,NBA,Toronto Raptors,False,TOR
2006,NBA,Utah Jazz,False,UTA
2006,NBA,Washington Wizards,True,WAS
2005,NBA,Atlanta Hawks,False,ATL
2005,NBA,Boston Celtics,True,BOS
2005,NBA,Charlotte Bobcats,False,CHA
2005,NBA,Chicago Bulls,True,CHI
2005,NBA,Cleveland Cavaliers,False,CLE
2005,NBA,Dallas Mavericks,True,DAL
2005,NBA,Denver Nuggets,True,DEN
2005,NBA,Detroit Pistons,True,DET
2005,NBA,Golden State Warriors,False,GSW
2005,NBA,Houston Rockets,True,HOU
2005,NBA,Indiana Pacers,True,IND
2005,NBA,League Average,False,
2005,NBA,Los Angeles Clippers,False,LAC
2005,NBA,Los Angeles Lakers,False,LAL
2005,NBA,Memphis Grizzlies,True,MEM
2005,NBA,Miami Heat,True,MIA
2005,NBA,Milwaukee Bucks,False,MIL
2005,NBA,Minnesota Timberwolves,False,MIN
2005,NBA,New Jersey Nets,True,NJN
2005,NBA,New Orleans Hornets,False,NOH
2005,NBA,New York Knicks,False,NYK
2005,NBA,Orlando Magic,False,ORL
2005,NBA,Philadelphia 76ers,True,PHI
2005,NBA,Phoenix Suns,True,PHO
2005,NBA,Portland Trail Blazers,False,POR
2005,NBA,Sacramento Kings,True,SAC
2005,NBA,San Antonio Spurs,True,SAS
2005,NBA,Seattle SuperSonics,True,SEA
2005,NBA,Toronto Raptors,False,TOR
2005,NBA,Utah Jazz,False,UTA
2005,NBA,Washington Wizards,True,WAS
2004,NBA,Atlanta Hawks,False,ATL
2004,NBA,Boston Celtics,True,BOS
2004,NBA,Chicago Bulls,False,CHI
2004,NBA,Cleveland Cavaliers,False,CLE
2004,NBA,Dallas Mavericks,True,DAL
2004,NBA,Denver Nuggets,True,DEN
2004,NBA,Detroit Pistons,True,DET
2004,NBA,Golden State Warriors,False,GSW
2004,NBA,Houston Rockets,True,HOU
2004,NBA,Indiana Pacers,True,IND
2004,NBA,League Average,False,
2004,NBA,Los Angeles Clippers,False,LAC
2004,NBA,Los Angeles Lakers,True,LAL
2004,NBA,Memphis Grizzlies,True,MEM
2004,NBA,Miami Heat,True,MIA
2004,NBA,Milwaukee Bucks,True,MIL
2004,NBA,Minnesota Timberwolves,True,MIN
2004,NBA,New Jersey Nets,True,NJN
2004,NBA,New Orleans Hornets,True,NOH
2004,NBA,New York Knicks,True,NYK
2004,NBA,Orlando Magic,False,ORL
2004,NBA,Philadelphia 76ers,False,PHI
2004,NBA,Phoenix Suns,False,PHO
2004,NBA,Portland Trail Blazers,False,POR
2004,NBA,Sacramento Kings,True,SAC
2004,NBA,San Antonio Spurs,True,SAS
2004,NBA,Seattle SuperSonics,False,SEA
2004,NBA,Toronto Raptors,False,TOR
2004,NBA,Utah Jazz,False,UTA
2004,NBA,Washington Wizards,False,WAS
2003,NBA,Atlanta Hawks,False,ATL
2003,NBA,Boston Celtics,True,BOS
2003,NBA,Chicago Bulls,False,CHI
2003,NBA,Cleveland Cavaliers,False,CLE
2003,NBA,Dallas Mavericks,True,DAL
2003,NBA,Denver Nuggets,False,DEN
2003,NBA,Detroit Pistons,True,DET
2003,NBA,Golden State Warriors,False,GSW
2003,NBA,Houston Rockets,False,HOU
2003,NBA,Indiana Pacers,True,IND
